topic	rank	download_priority	category	score	year	title	doi	pmid	url	cytokines
core_armored_CART_multi_cytokine	28	1	core_self_secreting_or_armored_cytokine_cart	57	2025	Abstract A029: Overcoming heterogeneous glioblastoma with armored CAR-T cell therapy. Authors: Clubb, J. D., Shih, R., Gao, T., Shafer, A, Vajragiri, S., Talluri, S., Bouren, A., Brown, C. E., Okada, H., Nathanson, D., Chen, Y	10.1158/2326-6074.io2025-a029		https://www.semanticscholar.org/paper/0221d2fcf8e2d224956fa8a47680202afa08a1c4	IL-12,IL-18
core_armored_CART_multi_cytokine	30	1	core_self_secreting_or_armored_cytokine_cart	57	2020	Abstract A31: Comparing IL-12 and IL-18 secreting CAR T-cell efficacy	10.1158/2326-6074.tumimm18-a31		https://doi.org/10.1158/2326-6074.tumimm18-a31	IL-12,IL-18
core_armored_CART_multi_cytokine	31	1	core_self_secreting_or_armored_cytokine_cart	57	2012	Abstract 3501: Binary control of CAR-CTL by transgenic IL-7 and IL-7R expression	10.1158/1538-7445.am2012-3501		https://doi.org/10.1158/1538-7445.am2012-3501	IL-2,IL-7
core_armored_CART_IL18	38	1	core_self_secreting_or_armored_cytokine_cart	56	2026	How can we balance risk and benefit of interleukin-18 armored T cell therapies?	10.1158/1078-0432.CCR-14-2085	41728085	https://pubmed.ncbi.nlm.nih.gov/41728085/	IL-18
core_armored_CART_IL18	39	1	core_self_secreting_or_armored_cytokine_cart	56	2025	IL18-armored CAR T cells in relapsed/refractory B cell acute lymphoblastic leukemia	10.1182/blood-2025-812		https://www.semanticscholar.org/paper/6d9800eb8149847e32c77955aa5fc772b58d4fcf	IL-18
core_armored_CART_IL18	40	1	core_self_secreting_or_armored_cytokine_cart	56	2025	IL18-armored CAR T cells in patients with CLL/SLL and Richter's transformation after prior BTK inhibitor and venetoclax failure	10.1182/blood-2025-2394		https://www.semanticscholar.org/paper/1dbccbe4b8ce0d3ac46208722370ca48cb6b3731	IL-18
core_armored_CART_IL18	41	1	core_self_secreting_or_armored_cytokine_cart	56	2025	CD371-targeted CAR T cells secreting interleukin-18 exhibit robust expansion and clear refractory acute myeloid leukemia	10.1182/blood.2025029532	40864984	https://www.semanticscholar.org/paper/b436c14d8c6c956d4d38d66e45dc02abfd34a388	IL-18
core_armored_CART_IL18	45	1	core_self_secreting_or_armored_cytokine_cart	56	2025	Can We Use CAR-T Cells to Overcome Immunosuppression in Solid Tumours?	10.3389/fimmu.2025.1563858	40906384	https://pubmed.ncbi.nlm.nih.gov/40906384/	IL-18
core_armored_CART_IL18	51	1	core_self_secreting_or_armored_cytokine_cart	56	2025	Armoring STEAP1 CAR T cells with IL-18 potentiates antitumor activity in Ewing sarcoma.	10.1038/nm.1882	41415362	https://pubmed.ncbi.nlm.nih.gov/41415362/	IL-18
core_armored_CART_IL18	52	1	core_self_secreting_or_armored_cytokine_cart	56	2025	CD371-targeted CAR T cells secreting interleukin-18 exhibit robust expansion and clear refractory acute myeloid leukemia.	10.1101/2024.02.09.579677	40864984	https://pubmed.ncbi.nlm.nih.gov/40864984/	IL-18
core_armored_CART_IL18	53	1	core_self_secreting_or_armored_cytokine_cart	56	2025	Targeting CD276 with Adapter-CAR T-cells provides a novel therapeutic strategy in small cell lung cancer and prevents CD276-dependent fratricide.	10.1186/s13045-025-01729-8	40722088	https://pubmed.ncbi.nlm.nih.gov/40722088/	IL-18
core_armored_CART_IL18	54	1	core_self_secreting_or_armored_cytokine_cart	56	2025	IL-18 revives dysfunctional CAR-T cells.	10.1016/j.trecan.2025.06.008	40628538	https://pubmed.ncbi.nlm.nih.gov/40628538/	IL-18
core_armored_CART_IL18	55	1	core_self_secreting_or_armored_cytokine_cart	56	2025	Enhanced CAR T-Cell Therapy for Lymphoma after Previous Failure.	10.1056/NEJMoa2408771	40334157	https://pubmed.ncbi.nlm.nih.gov/40334157/	IL-18
