rank,condition,n,live_tumor_count_mean,live_tumor_count_sd,live_cart_count_mean,live_cart_count_sd,mean_cart_exhaustion_mean,mean_cart_exhaustion_sd,mean_aux_cytokine_mean,mean_aux_cytokine_sd,mean_IFNg_mean,mean_IFNg_sd,tumor_remaining_fraction_mean,tumor_remaining_fraction_sd
1,control,3,1384.333333,25.48202,1020.0,21.0,0.409827,0.002112,0.228611,0.002129,0.048299,0.001108,0.692167,0.012741
2,il_15,3,1398.666667,46.929024,972.0,26.0,0.42048,0.007251,0.230101,0.002716,0.047563,0.000527,0.699333,0.023465
3,il_18,3,1488.0,30.805844,880.333333,59.676908,0.437729,0.005712,0.203878,0.003954,0.04104,0.000515,0.744,0.015403
4,il_12,3,1597.0,53.225934,716.333333,27.392213,0.466036,0.017728,0.1125,0.003178,0.033968,0.001273,0.7985,0.026613
5,il_7,3,1610.333333,32.516662,911.0,20.518285,0.458689,0.010143,0.198611,0.00473,0.037748,0.001744,0.805167,0.016258
6,il_2,3,1690.666667,39.399662,755.333333,44.049215,0.473024,0.018962,0.112765,0.004721,0.03399,0.002014,0.845333,0.0197
